"ror_nr","ror_unit","ror_plant","region_id","zip","city","street","year","Pinst","efactor","head","total_flow","flo_river_ror","status","company","turbtype","geodbid","river","river_km","level_meter"
"3574","E21875011000000000000187452700000",,"11017","92369","Sengenthal","Schlierfermuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"24203",,"0","33"
"3575","E21875011000000000000187456100000",,"11017","92431","Neunburg","Oberaschau","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3576","E21875011000000000000187456900000",,"11017","92431","Neunburg","Warnthal","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3577","E21875011000000000000187457600000",,"11017","92431","Neunburg","Warnthal","2001","0.07","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3578","E21875011000000000000187458400000",,"11017","92431","Neunburg","Warnthal","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3579","E21875011000000000000187459800000",,"11017","92431","Neunburg","Neumurnthal","2001","0.15","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3580","E21875011000000000000187460600000",,"11017","92431","Neunburg","Eixendorf","2001","1.90","0.00","0.00","0.00",NULL,"OPR",,,"21518",,"0","33"
"3581","E21875011000000000000187464600000",,"11017","92436","Bruck","Raiffeisenstr.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15022",,"0","33"
"3582","E21875011000000000000187476000000",,"11018","92444","Roetz","Pillmersried","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"23239",,"0","12"
"3583","E21875011000000000000187477000000",,"11018","92444","Roetz","Steegen","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"23239",,"0","12"
"3584","E21875011000000000000187480900000",,"11017","92447","Schwarzhofen","Ernst-Hanauer-Str.","2001","0.08","0.00","0.00","0.00",NULL,"OPR",,,"24048",,"0","33"
"3585","E21875011000000000000187481700000",,"11017","92447","Schwarzhofen","Girnitz","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"24048",,"0","33"
"3586","E21875011000000000000187482600000",,"11017","92447","Schwarzhofen","Wassergasse","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"24048",,"0","33"
